channel,degree_centrality,betweenness_centrality,pagerank
TheEllenShow,0.20913770913770913,0.0005651248512257367,0.004758840493261665
Saturday Night Live,0.2084942084942085,0.0006512075458686574,0.004700040421920759
Breakfast Club Power 105.1 FM,0.2084942084942085,0.0026932231597944062,0.0044163069111679025
The Late Late Show with James Corden,0.21106821106821105,0.006592042056407895,0.004395978104011152
Netflix,0.18983268983268983,0.0014360448890087427,0.0042160411939730705
The Late Show with Stephen Colbert,0.21235521235521235,0.010617500903317584,0.0040830483610375555
Jimmy Kimmel Live,0.20785070785070783,0.053276637000337655,0.0039264575640386564
Warner Bros. Pictures,0.19884169884169883,0.00396246759616907,0.0038783309570404336
WWE,0.056628056628056624,0.0026270269488218056,0.003865053389010406
RedLetterMedia,0.19111969111969113,0.0023472901515464327,0.0037092153461426576
SMTOWN,0.3108108108108108,0.00039999046868774847,0.003681509245984088
BBC Radio 1,0.3745173745173745,0.09465836478960105,0.0033877720939080214
TMZSports,0.05341055341055341,9.798640841473409e-05,0.003292117114178677
Movieclips Trailers,0.052123552123552123,9.491224275639837e-05,0.003253664503435275
jypentertainment,0.2824967824967825,0.000990035201506591,0.003242916612210104
Star Wars,0.17824967824967825,0.0014242492486756253,0.0032022911025747255
WIRED,0.15444015444015444,0.03751906142457342,0.0031990015547223513
Marvel Entertainment,0.16473616473616473,0.0015689859737977934,0.0031352074182205295
HBO,0.09395109395109395,0.0358247983990225,0.0029895781376475016
WORLDSTARHIPHOP,0.24453024453024452,0.001004892091016788,0.002939395379858148
The Tonight Show Starring Jimmy Fallon,0.04504504504504504,0.000725142139316242,0.0029322049319386806
Vogue,0.19369369369369369,0.052917100182834347,0.002873398182345882
Mnet K-POP,0.15315315315315314,0.0025570798230156486,0.0028730107905848724
ESPN,0.046975546975546977,0.0014052426706510682,0.002760442058106677
Late Night with Seth Meyers,0.04504504504504504,0.0007488212434042322,0.0027526949761631486
Sony Pictures Entertainment,0.16023166023166022,0.0003897506886196486,0.002751853510421799
Will Smith,0.13577863577863578,0.00031105847446154055,0.00267082943722641
20th Century Fox,0.04826254826254826,0.004761325241006434,0.0026499751661847267
The Voice,0.13706563706563707,0.0005682762533727743,0.0026144651579509694
PewDiePie,0.13449163449163448,0.050887868553737586,0.002605156037503148
ibighit,0.21943371943371942,0.0013285842685343292,0.002545777185541006
Ubisoft US,0.036679536679536676,0.00076732895890088,0.002424247276027169
HOT 97,0.24453024453024452,0.0022901021651556466,0.0024168140116374
