channel,degree_centrality,betweenness_centrality,pagerank
Netflix,0.21619001454192924,0.00013761057991104549,0.004735815788214352
TheEllenShow,0.2142510906446922,0.00022052342916221006,0.004725106837180511
The Late Show with Stephen Colbert,0.22394571013087738,0.0029060147494689857,0.0046029741441486
Saturday Night Live,0.1992244304411052,0.0009061440847218852,0.004298877355178886
The Late Late Show with James Corden,0.21376635967038296,0.0033761980886184875,0.004069783845129583
WIRED,0.19001454192922929,0.09635231091032052,0.003937858512605341
Jimmy Kimmel Live,0.23218613669413476,0.044947741128730324,0.0039017619775486923
ESPN,0.05913717886572952,0.003789176598567051,0.0037082442627668797
Warner Bros. Pictures,0.1909840038778478,0.0011283013566152564,0.0036850293468530903
BuzzFeedVideo,0.09112942317014057,0.007505822278081373,0.0036541874280598863
HellthyJunkFood,0.17450315075133302,0.00047332294529176027,0.0036299705139526514
FBE,0.16965584100824044,0.0015556979334005365,0.0036023837681047927
Good Mythical Morning,0.17886572952011634,0.0016248844204539582,0.0035499141713632104
Vanity Fair,0.17207949587978671,0.00015230426765123266,0.0035173866977424462
NBA,0.05865244789142027,0.006458617670164691,0.003475378055830242
Screen Junkies,0.053320407174018425,0.0014070099892791493,0.0034507325702166605
INSIDER,0.19728550654386817,0.11079898368302298,0.0033035842669766166
WWE,0.05719825496849249,0.0036192067021732655,0.0032116989781545598
Marvel Entertainment,0.15802229762481823,0.007817170428429625,0.0030891467494809704
Bon Appétit,0.17207949587978671,0.012641380044836163,0.0030614138088825636
Marques Brownlee,0.06349975763451285,0.0027942576718479246,0.003057023428285315
The Voice,0.1551139117789627,0.00022030182043352207,0.003006793169671782
The Slow Mo Guys,0.17450315075133302,0.01862582747251916,0.0029381665526998584
Great Big Story,0.09355307804168687,0.0218618025771051,0.0029324013935687425
Safiya Nygaard,0.08288899660688319,0.00861767370826675,0.0029286136328658
The Tonight Show Starring Jimmy Fallon,0.06349975763451285,2.9569269948893613e-05,0.002927071768729311
Vogue,0.20213281628696075,0.08564860346419384,0.0029061213775344436
James Charles,0.13960252060106643,0.004248533033847953,0.002795900138639638
First We Feast,0.08337372758119244,0.0008317991421717393,0.002768939090013236
Late Night with Seth Meyers,0.06107610276296656,9.76648169873206e-05,0.0027275481015751057
Binging with Babish,0.14493456131846827,0.0009355741131310581,0.0026867644568202165
E! Entertainment,0.1817741153659719,0.002828800962039558,0.0026866363660794706
Tasty,0.09161415414444983,0.0072065901112463365,0.0026810733386665696
Complex,0.14105671352399418,0.0005094318418084348,0.0026391437048934926
Star Wars,0.15462918080465343,0.0018097151297231419,0.002626167490375492
Universal Pictures,0.16238487639360155,0.0007829732023381126,0.002623405079638019
20th Century Fox,0.045564711585070285,0.0017865269725549288,0.0025987665003808307
NFL,0.05428986912263694,0.004420870088697076,0.002520150116106943
The Graham Norton Show,0.16917111003393118,0.0015712073603423439,0.0024893699237828327
REACT,0.11730489578284053,0.0005590927063503912,0.0024595139499257656
AsapSCIENCE,0.04701890450799806,0.002818357611149568,0.0024288248346476513
Vox,0.04992729035385361,1.6323026883705747e-05,0.002410330089351054
Watch What Happens Live with Andy Cohen,0.16820164808531265,0.0022911337745936027,0.0024054482952305567
CollegeHumor,0.057682985942801746,4.306262088570249e-05,0.002364029087201007
CaseyNeistat,0.07755695588948135,0.004418560023968241,0.0023534454307258595
iJustine,0.09985458070770722,0.027492262047950588,0.002337606163521763
The Verge,0.052835676199709164,0.0013761749072518424,0.00229376741059793
Dude Perfect,0.03538536112457586,0.00026206414366803217,0.0022892317613186844
PTXofficial,0.10082404265632575,7.301335192927212e-05,0.00225428561269471
ibighit,0.11245758603974794,0.0012819095167581303,0.0022185147353773185
CrazyRussianHacker,0.04217159476490548,0.00015430480597269027,0.0022160117430213627
CNN,0.04507998061076103,5.527790559861882e-06,0.0022039021322560214
nigahiga,0.12215220552593312,0.001688761894551447,0.002194216846752716
jacksfilms,0.05138148327678139,0.00021724816631899467,0.0021821695997013527
Charlie Puth,0.09743092583616093,0.0018853748987648128,0.0021808297229164984
Sony Pictures Entertainment,0.1420261754726127,0.00026379481806505946,0.002172485373135278
BBC Radio 1,0.18565196316044597,0.13121631214319399,0.0021546256129088047
American Idol,0.07901114881240912,0.0,0.0020953492049829566
Entertainment Tonight,0.1793504604944256,0.034356369779901474,0.0020919867960767194
The Film Theorists,0.0407174018419777,0.007351350434114511,0.00206247121697628
SMTOWN,0.13184682501211828,0.0011303881167449724,0.002036540200416811
Tom Scott,0.02714493456131847,0.00039744659893295784,0.0020244898064443544
CinemaSins,0.04168686379059622,0.0015846853287996593,0.0020086991216752086
Matt Stonie,0.07949587978671838,0.0,0.0019904200235528365
Smosh,0.05089675230247213,0.00028644980993486693,0.0019810128792508456
William Osman,0.053320407174018425,0.004904957451052261,0.0019718273719241067
Grace Helbig,0.0664081434803684,0.0026753761038605032,0.001970387594980476
Focus Features,0.11827435773145904,0.002837979510448638,0.0019641699249710845
TED-Ed,0.025690741638390694,0.0004712237599600988,0.0019452594827392405
The View,0.13427047988366458,0.010033595992129005,0.0019327859679646496
Michelle Khare,0.13766359670382938,0.0040579785327083066,0.001929990438920647
Life Noggin,0.026660203587009212,0.0024879958974176088,0.0019202523123734092
NikkieTutorials,0.0605913717886573,0.00020608637562397926,0.0018979741823177707
itsAlexClark,0.033931168201648085,0.0006587131470323063,0.0018934644414942527
Good Morning America,0.12748424624333496,0.005627031631153979,0.001883856445941311
SiaVEVO,0.1211827435773146,0.0018859033806399184,0.001869082224635906
Simon's Cat,0.026660203587009212,0.005426539119340451,0.0018607077410815265
Washington Post,0.06689287445467766,0.005528622094907014,0.0018596323180297234
Billboard,0.12069801260300533,0.013368438339656334,0.0018479860107687186
HBO,0.03974793989335919,0.0018445839346867606,0.0018369794561969898
You Suck At Cooking,0.06495395055744062,0.0005603870628427448,0.001833480379380564
Refinery29,0.08773630634997577,0.009958613673333153,0.0018259639873869176
vlogbrothers,0.05913717886572952,0.0007438123974339498,0.0018143351408281378
Will Smith,0.10857973824527388,0.002216715529007045,0.0018114883171315508
ABC News,0.043141056713523994,0.00011863527082613545,0.0017830226686591098
The King of Random,0.025206010664081437,0.003163109100131865,0.001782639863296511
Rosanna Pansino,0.06786233640329617,0.0021783896268728832,0.0017813831680733863
Atlantic Records,0.11003393116820165,0.0020818952749383692,0.0017506552935146996
Guava Juice,0.0954920019389239,0.0003145731112820509,0.0017422926340826001
Tati,0.053320407174018425,1.1211137412220267e-05,0.0017358134238953703
WOWPresents,0.11488124091129423,0.0007882141526510681,0.0017202452822033386
Brave Wilderness,0.018904507998061076,0.0006970738228662028,0.0017076210031441751
Full Frontal with Samantha Bee,0.06446921958313137,0.003780707278909272,0.0016912728051183166
jypentertainment,0.0954920019389239,0.0021827542846086997,0.0016804721480646887
Laura Lee,0.0489578284052351,2.334356549799957e-06,0.0016694372469088187
ColliderVideos,0.1512360639844886,0.002074524980016101,0.0016659563245935399
SpaceX,0.04265632573921474,0.002954988429474403,0.0016551156496208486
EverythingApplePro,0.0979156568104702,0.0032917154222035236,0.0016537164573773905
ShawnMendesVEVO,0.07125545322346098,0.00027875130183357743,0.0016420549277619144
IISuperwomanII,0.052835676199709164,0.0009126017945667962,0.0016391045879267105
Doug DeMuro,0.014057198254968492,0.007444811518197231,0.0016060654859930668
Rudy Mancuso,0.07319437712069801,0.006209789264606284,0.0016037070409436263
SciShow,0.024236548715462918,0.00015595234284491918,0.001602648153332261
Cut,0.13087736306349976,0.0006163319030557981,0.0015955755385785217
Inside Edition,0.048473097430925836,0.021000688049542082,0.0015877781564427214
TODAY,0.04265632573921474,0.00012413769699560963,0.001587472382271774
Austin Evans,0.044110518662142516,0.0023268392076376877,0.0015870407722251346
colinfurze,0.0756180319922443,0.011981050463045038,0.00158576373141234
CalumScottVEVO,0.08870576829859428,0.004348145900425292,0.001583002054345733
Tyler Oakley,0.12021328162869607,0.0013136568161304677,0.0015748621329220215
Breakfast Club Power 105.1 FM,0.13911778962675717,0.005328200860916166,0.0015747630350155604
