metric,US,GB
alpha,2.6886802526277487,2.637265666889141
average_clustering,0.7578681141440146,0.765690451907343
average_shortest_path_length,2.7859187053498777,2.8178205360924546
density,0.028670862551211318,0.04962741172076391
diameter,10,7
favors_power_law,False,False
ks_distance,0.05478547711534465,0.0785340572429295
largest_cc_fraction,0.9963553530751709,0.974025974025974
largest_cc_size,2187,1575
loglikelihood_ratio_vs_exponential,0.5919826798875423,-4.178814642055454
num_connected_components,4,5
num_edges,69037,64840
num_nodes,2195,1617
p_value_vs_exponential,0.5538621865971417,2.930323850988395e-05
xmin,59.0,70.0
